Time (s),Rel X (m),Rel Y (m)
2.951653,0.640445,0.440234
2.955658,0.641017,0.429878
2.959663,0.641390,0.419326
2.963668,0.641553,0.408583
2.967673,0.641494,0.397659
2.971678,0.641204,0.386561
2.975683,0.640674,0.375299
2.979688,0.639897,0.363882
2.983693,0.638865,0.352320
2.987698,0.637569,0.340621
2.991703,0.636001,0.328796
2.995708,0.634150,0.316854
2.999713,0.632009,0.304805
3.003717,0.629568,0.292660
3.007722,0.626825,0.280433
3.011727,0.623775,0.268139
3.015732,0.620419,0.255794
3.019737,0.616759,0.243414
3.023742,0.612797,0.231014
3.027747,0.608538,0.218609
3.031752,0.603980,0.206211
3.035757,0.599124,0.193834
3.039762,0.593971,0.181493
3.043767,0.588521,0.169205
3.047772,0.582773,0.156984
3.051777,0.576727,0.144849
3.055782,0.570383,0.132819
3.059787,0.563742,0.120913
3.063792,0.556803,0.109153
3.067797,0.549565,0.097560
3.071802,0.542027,0.086154
3.075807,0.534188,0.074953
3.079812,0.526051,0.063973
3.083817,0.517620,0.053227
3.087822,0.508903,0.042724
3.091827,0.499910,0.032473
3.095831,0.490653,0.022478
3.099836,0.481146,0.012746
3.103841,0.471402,0.003283
3.107846,0.461433,-0.005902
3.111851,0.451247,-0.014802
3.115856,0.440851,-0.023411
3.119861,0.430249,-0.031722
3.123866,0.419446,-0.039729
3.127871,0.408446,-0.047425
3.131876,0.397256,-0.054805
3.135881,0.385884,-0.061859
3.139886,0.374341,-0.068580
3.143891,0.362641,-0.074959
3.147896,0.350798,-0.080989
3.151901,0.338830,-0.086663
3.155906,0.326755,-0.091974
3.159911,0.314596,-0.096918
3.163916,0.302379,-0.101489
3.167921,0.290136,-0.105686
3.171926,0.277906,-0.109505
3.175931,0.265731,-0.112946
3.179936,0.253662,-0.116010
3.183941,0.241750,-0.118702
3.187945,0.230049,-0.121026
3.191950,0.218615,-0.122991
3.195955,0.207503,-0.124610
3.199960,0.196772,-0.125897
3.203965,0.186474,-0.126872
3.207970,0.176662,-0.127562
3.211975,0.167387,-0.127999
3.215980,0.158699,-0.128223
3.219985,0.150648,-0.128269
3.223990,0.143279,-0.128177
3.227995,0.136637,-0.127983
3.232000,0.130759,-0.127719
